mz	mostAbundantMz	charge	rtStart	rtApex	rtEnd	fwhm	nIsotopes	nScans	averagineCorr	mass	massCalib	intensityApex	intensitySum
300.0609970994306	300.0609970994306	1	0.021671666667	0.08428354474160386	0.157584166667	0.2523940283623833	2	8	0.9871563291574507	299.05221693492507	299.0477720718508	7181.704833984375	72277.67422485352
445.11913776243483	445.11913776243483	1	0.021671666667	0.15283747580638338	0.49191583333300004	1.6639354745250738	2	29	0.9897974425577574	444.11149355913096	444.11129650740145	23489.203689575195	660695.8271789551
372.0993661774225	372.0993661774225	1	0.174296666667	0.23777950808642662	0.45848	0.3357193196883695	2	17	0.9816538066237059	371.0906259512534	371.0892983188108	6720.230438232422	143116.77401733398
300.06125633576914	300.06125633576914	1	0.157584166667	0.23129134151748434	0.3749033333335	0.2870732385824213	2	12	0.9871446784250176	299.0523694317311	299.0479493590052	8560.553237915039	122624.01473999023
356.0683811900897	356.0683811900897	1	0.021671666667	0.07067604250012546	0.4751991666665	0.5750502285938778	2	28	0.9308998500356257	355.0590438536766	355.0573896570003	20815.80842590332	886291.5014953613
359.027731364604	359.027731364604	1	0.021671666667	0.06246252244236428	0.554144166667	0.5892925609525724	3	29	0.9991090135307683	358.0193660465224	358.01780343985126	34165.036209106445	945929.8123168945
445.11909341701954	445.11909341701954	1	0.45848	0.733394476822347	0.900476666667	0.662798960489773	3	23	0.9901198093232254	444.11129913399765	444.1110900875377	23814.684051513672	556136.8872375488
504.105587911039	504.105587911039	1	0.6210325	0.6881897474460196	0.813946666667	0.06068328318852023	2	8	0.9571659771179478	503.09636798012	503.09620126691226	3587.9075927734375	32788.01208496094
430.0863176690867	430.0863176690867	1	0.4250475	0.6477114968106182	0.7881958333335	2.9261374271520326	2	21	0.9950366575406581	429.0777536776112	429.07731955438675	6401.695114135742	130474.85244750977
300.06106550742544	300.06106550742544	1	0.3581866666665	0.3892148618174251	0.8837591666669999	0.5993219490105511	2	30	0.999818364197219	299.0527951836075	299.0484070464749	6885.300796508789	242194.84732055664
446.1178742713427	446.1178742713427	1	0.7046175	0.7685028722431991	1.0509283333335	0.32888819492523713	2	20	0.9904938154063304	445.1090300776138	445.10871274823086	6173.667495727539	106002.30029296875
430.08646021022577	430.08646021022577	1	0.7714808333334999	0.9405657595449325	1.1345091666670002	0.9627586236361125	2	20	0.9391204420688802	429.07720028141085	429.0767767435977	7221.0006103515625	152725.31317138672
300.0609973311147	300.0609973311147	1	0.8837591666669999	1.041941069037748	1.1846566666665002	0.3952547097715189	2	18	0.9988711344438912	299.0527081800422	299.04829713855946	7193.325286865234	148601.78149414062
372.0993198436017	372.0993198436017	1	0.45848	1.0030069389003586	1.1345091666670002	0.5946695636581363	2	35	0.8943521129385489	371.08990535383924	371.08863705298495	9064.229934692383	397000.27505493164
503.1063794937646	503.1063794937646	1	0.7380533333335	0.9618034673949221	1.1177925000000002	0.6354885999548481	2	22	0.9911770862170581	502.09866469486025	502.0986386466506	9327.063873291016	200454.6801147461
356.06838346141996	356.06838346141996	1	0.4417633333335	0.617021224382327	1.1177925000000002	0.7458640035804123	2	39	0.9038087079583864	355.0588588824727	355.0572186613774	17623.08576965332	1139394.4879455566
446.1176669533976	446.1176669533976	1	1.0509283333335	1.1065869130322166	1.2515241666665	0.1664469110568445	2	10	0.9014189212239806	445.1081418347089	445.10779677163276	5450.208511352539	71240.27993774414
372.09946821647685	372.09946821647685	1	1.06765	1.2409915587280325	1.3852658333335	0.3568222217686168	2	19	0.9578534639577931	371.09050650588307	371.08919746878263	8306.232727050781	197035.8960571289
300.0610619576145	300.0610619576145	1	1.1846566666665002	1.3237936751276105	1.4855625	0.4215565563219248	2	18	0.9999915942212089	299.05290632927046	299.048497335652	8927.478790283203	155191.08227539062
360.0268989531343	360.0268989531343	1	1.151229166667	1.3295018338059077	1.452125	0.2738212799654094	2	13	0.8679383558698927	359.0172667735376	359.0156035800608	4960.650787353516	94952.53726196289
430.0862708484112	430.0862708484112	1	1.31839	1.3886603038598548	1.5858591666665	0.3029675506052525	2	16	0.9933068801426499	429.0777076438275	429.0772601539698	6247.174224853516	106959.76223754883
372.09938807716094	372.09938807716094	1	1.335111666667	1.424725535053365	1.70288	0.278722744119809	2	19	0.9224475080364327	371.09020232479713	371.0888932388046	9258.760452270508	196894.67477416992
356.068472797993	356.068472797993	1	1.1177925000000002	1.6272819416503848	1.70288	1.1057829687627292	2	35	0.9103325378677941	355.05890260399985	355.0572594831675	21697.97834777832	1081525.1675109863
430.08628949062006	430.08628949062006	1	1.6694433333335001	1.7417119515789483	1.870048333333	0.15275952248709213	2	10	0.9691811307659085	429.0774033759952	429.0769337078278	5352.127548217773	76918.70587158203
360.02686862390397	360.02686862390397	1	1.6527258333335	1.7529354212048338	1.8031766666665	0.13639389998860785	2	8	0.9289794976288782	359.0175723703365	359.0158616532449	4619.171920776367	40803.231353759766
356.0683661553405	356.0683661553405	1	1.70288	1.7629144257709406	2.1375166666669996	0.6365963800896015	2	26	0.9832876887939159	355.05960977380244	355.0579346498591	20252.518127441406	608336.6831665039
360.02692187078736	360.02692187078736	1	1.8031766666665	1.8505861554524763	2.0037841666665	0.19997056773406863	2	12	0.9935681601325894	359.01826982497187	359.01658131089596	4928.483551025391	60518.213470458984
430.08627446745396	430.08627446745396	1	1.7864616666664999	1.9739869451324512	2.1208008333335	0.3395144578725384	2	15	0.8988276724601911	429.0769500543657	429.0765130314285	6778.188568115234	124983.23928833008
